model,rmse_mean,rmse_std,r2_score,mae,training_time,run_id
random_forest,263.02687579731764,45.730689939238175,0.7156513170994825,122.87693819148618,2.32246732711792,e2f70fce2e424d9984efae365a258f81
gradient_boosting,265.1774861472474,49.7360988338623,0.7131609313837339,133.35156907735032,0.718559741973877,d6d27aa7cb25481a898d7b31a2054bf0
xgboost,281.5076437589496,55.750758991357785,0.6751005932191557,133.60562340329668,0.4707767963409424,17f3bd267e8545a7882c0979989335cf
linear_regression,447.434465582499,87.98375932194948,0.18474179002834998,281.09574196263566,0.06911015510559082,cdd99082c9a8488a87d42610a24ee483
svr,524.6593194410038,77.3666309779821,-0.11503846488176969,287.19065827795856,0.655167818069458,751a91e15c4a4cdb8b1aa9e31b4d404c
