model,rmse_mean,rmse_std,r2_score,mae,training_time,run_id
random_forest,263.0268757973177,45.7306899392382,0.7156513170994825,122.87693819148618,4.7333831787109375,1140b0c027f0442c81f2cc0e9f9f255a
gradient_boosting,265.1774861472474,49.7360988338623,0.7131609313837339,133.35156907735032,0.8142964839935303,4e189ae3e61d40a7b5016068e33fc037
xgboost,281.5076437589496,55.750758991357785,0.6751005932191557,133.60562340329668,0.5410594940185547,ac217703382843fe8bbe7274a1c4363b
linear_regression,447.434465582499,87.98375932194948,0.18474179002834998,281.09574196263566,6.976749897003174,c0c11148d53d4a17aea10db055020879
svr,524.6593194410038,77.3666309779821,-0.11503846488176969,287.19065827795856,0.6098856925964355,ef8a83a0ae0749228a422dc8811312ac
