model,rmse_mean,rmse_std,r2_score,mae,training_time,run_id
random_forest,263.02687579731764,45.7306899392382,0.7156513170994825,122.87693819148618,4.034328460693359,50c4cc5ce8464ea794717f2a82d80ead
gradient_boosting,265.1774861472474,49.7360988338623,0.7131609313837339,133.35156907735032,0.7493226528167725,f1e94edf13d347f18aec1f5b60482676
xgboost,281.5076437589496,55.750758991357785,0.6751005932191557,133.60562340329668,0.5095901489257812,fe328083f85649e8a89c3ddd0688dede
linear_regression,447.434465582499,87.98375932194948,0.18474179002834998,281.09574196263566,6.235757827758789,9476207d377a434880391804495ac69d
svr,524.6593194410038,77.3666309779821,-0.11503846488176969,287.19065827795856,0.5598189830780029,ed045e8f8c3f44e7b832341e82a60ea9
